Match_ID,Tournament_ID,Player_White,Player_Black,Winner,Arbiter,Match_Type,Round
M-838-SXTO,T-099-WICX,RU-65-XUNP,MK-77-VZCH,MK-77-VZCH,A-107-OZAY,Knockout,1
M-527-VNQM,T-099-WICX,GR-41-RJSR,VU-07-ONBD,GR-41-RJSR,A-370-BBYP,Knockout,1
M-042-SROI,T-099-WICX,PS-67-BXWM,DZ-84-RQTE,PS-67-BXWM,A-546-TDIK,Knockout,1
M-815-HIVI,T-099-WICX,PG-05-XORC,LV-27-ZUCY,PG-05-XORC,A-164-PTLV,Knockout,1
M-039-NVQI,T-099-WICX,NP-43-FHRL,NI-77-VFIK,NI-77-VFIK,A-288-AQQN,Knockout,1
M-204-PWHO,T-099-WICX,FM-22-VDMW,ET-58-TDND,FM-22-VDMW,A-133-ZXLE,Knockout,1
M-686-RDMU,T-099-WICX,CA-00-PNOP,EG-11-QKGR,CA-00-PNOP,A-733-AUEN,Knockout,1
M-022-QHPD,T-099-WICX,BS-44-UBMB,CM-36-ZBKV,BS-44-UBMB,A-994-IXNI,Knockout,1
M-748-CVZV,T-099-WICX,HU-09-YOMF,AE-40-YCAI,HU-09-YOMF,A-753-MBOK,Knockout,1
M-237-YCJX,T-099-WICX,BO-74-ZQEU,JP-16-XBQG,BO-74-ZQEU,A-482-YSYR,Knockout,1
M-992-LCUG,T-099-WICX,EE-96-XRNI,KP-68-WQHB,EE-96-XRNI,A-212-YSGP,Knockout,1
M-265-CNMV,T-099-WICX,CA-68-CSIV,JM-72-PNWM,CA-68-CSIV,A-458-UQCQ,Knockout,1
M-490-XCAA,T-099-WICX,DE-93-JWFT,ME-45-CTCP,DE-93-JWFT,A-846-UILI,Knockout,1
M-898-DBNG,T-099-WICX,CR-56-EVRA,HT-58-MYDR,CR-56-EVRA,A-497-VXCO,Knockout,1
M-260-QUIT,T-099-WICX,BD-78-ZMWY,LA-84-WLTS,BD-78-ZMWY,A-707-DMNM,Knockout,1
M-602-MBRW,T-099-WICX,HU-78-EDQU,AM-28-UULE,AM-28-UULE,A-133-ZXLE,Knockout,1
