Tournament_ID,Tournament_Name,Start_Date,End_Date,Winner,Location,Country
T-099-WICX,Jackson Inc Chess Contest,2010-06-02,2010-06-19,DE-93-JWFT,East Bianca,PL
T-653-FUFE,Owens PLC Chess Meet,2010-04-13,2010-04-21,BJ-06-ORJP,Torrestown,CI
T-803-UNGX,Johnson-Gray Chess Contest,2010-11-18,2010-11-29,ZW-12-RGUU,West Samantha,MD
T-159-TJSD,Harris Inc Chess Contest,2010-05-16,2010-05-21,RO-69-VXQU,West Dawn,PE
T-481-ZLHG,Thomas LLC Chess Meet,2010-08-08,2010-08-14,GY-62-VNAL,New Davidfort,NP
T-234-YRAF,Wagner and Sons Chess Meet,2010-09-16,2010-10-05,UZ-77-IBGD,Elizabethburgh,BT
T-858-LHMO,"Mitchell, Williams and Lee Chess Tournament",2010-04-02,2010-04-18,MU-70-KHZU,South Richard,TR
T-219-ZLCP,"Brown, Sellers and Barton Chess Competition",2010-07-09,2010-07-23,JP-99-GFWY,Port Kristenbury,LV
T-568-FUCV,Johnson-Edwards Chess Trials,2010-07-12,2010-07-21,LA-19-GLAU,East Jonathanview,PS
T-077-XZSG,Roberts PLC Chess Contest,2010-09-28,2010-10-12,KW-48-QKZR,Hickmanmouth,BR
T-214-AXAV,"Hill, Terrell and Moore Chess Contest",2010-08-24,2010-09-01,MA-92-EERP,South Benjaminshire,UG
T-657-CGDP,Collins LLC Chess Meet,2010-05-25,2010-06-01,CL-99-MDQK,Deanborough,BO
T-457-IKGZ,Phillips-Wright Chess Contest,2010-12-22,2011-01-09,JO-06-BCRQ,Port Eric,FM
T-834-YHMB,"Cook, Garcia and Atkinson Chess Contest",2010-10-25,2010-11-11,TN-38-REWJ,West Mary,MY
T-918-JQIM,Colon-Vincent Chess Tournament,2011-11-04,2011-11-12,KP-92-WHHD,Kristenhaven,MK
T-149-JTUD,Proctor-White Chess Trials,2011-04-16,2011-04-25,FI-01-HKOI,West Melanie,NP
